09/09/2026 14:10:05 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27963 | nesta_raiz=27963 | raiz=F:\Documentos\Rafael
09/09/2026 15:04:46 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27963 | nesta_raiz=27963 | raiz=F:\Documentos\Rafael
09/09/2026 15:22:33 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27963 | nesta_raiz=27963 | raiz=F:\Documentos\Rafael
09/09/2026 16:28:03 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27963 | nesta_raiz=27963 | raiz=F:\Documentos\Rafael
09/09/2026 16:28:03 | INFO | Atualizando índice | motor=pypdf | raiz=F:\Documentos\Rafael
09/09/2026 16:28:04 | INFO | Indexação | verificados=25 | lidos=0 | reaproveitados=25
09/09/2026 16:28:04 | INFO | Indexação | verificados=50 | lidos=0 | reaproveitados=50
09/09/2026 16:28:05 | INFO | Indexação | verificados=75 | lidos=0 | reaproveitados=75
09/09/2026 16:28:05 | INFO | Indexação | verificados=100 | lidos=0 | reaproveitados=100
09/09/2026 16:28:05 | INFO | Indexação | verificados=125 | lidos=0 | reaproveitados=125
09/09/2026 16:28:05 | INFO | Indexação | verificados=150 | lidos=0 | reaproveitados=150
09/09/2026 16:28:05 | WARNING | PDF não indexado | arquivo=F:\Documentos\Rafael\2 - PREFEITURA - MODELOS DOCUMENTOS\~$RMULARIOA EMISSÃO DE NF.pdf | motivo=PdfStreamError: Stream has ended unexpectedly
09/09/2026 16:28:05 | INFO | Indexação | verificados=175 | lidos=1 | reaproveitados=174
09/09/2026 16:28:05 | INFO | Indexação | verificados=200 | lidos=1 | reaproveitados=199
09/09/2026 16:28:05 | INFO | Indexação | verificados=225 | lidos=1 | reaproveitados=224
09/09/2026 16:28:05 | INFO | Indexação | verificados=250 | lidos=1 | reaproveitados=249
09/09/2026 16:28:05 | INFO | Indexação | verificados=275 | lidos=1 | reaproveitados=274
09/09/2026 16:28:06 | INFO | Indexação | verificados=300 | lidos=1 | reaproveitados=299
09/09/2026 16:28:06 | INFO | Indexação | verificados=325 | lidos=1 | reaproveitados=324
09/09/2026 16:28:06 | INFO | Indexação | verificados=350 | lidos=1 | reaproveitados=349
09/09/2026 16:28:06 | INFO | Indexação | verificados=375 | lidos=1 | reaproveitados=374
09/09/2026 16:28:06 | INFO | Indexação | verificados=400 | lidos=1 | reaproveitados=399
09/09/2026 16:28:06 | INFO | Indexação | verificados=425 | lidos=1 | reaproveitados=424
09/09/2026 16:28:06 | INFO | Indexação | verificados=450 | lidos=1 | reaproveitados=449
09/09/2026 16:28:06 | INFO | Indexação | verificados=475 | lidos=1 | reaproveitados=474
