10/09/2026 07:12:11 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 10:32:42 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 10:35:08 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 10:36:09 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 10:43:08 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 10:51:21 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 10:54:34 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 14:36:27 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 15:54:51 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 16:19:35 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 16:23:09 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 16:26:16 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 16:28:00 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 16:30:52 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
10/09/2026 16:32:31 | INFO | Diagnóstico do índice | banco=C:\C\Projetos_Phyton\Portal_Apps\dados\apps\buscar_pdf_cnpj\indice_pdfs.sqlite3 | total_banco=27831 | nesta_raiz=27831 | raiz=F:\Documentos\Rafael
